original_entry_id,original_label,original_destination,feature_code,canonical_route_id,module,category,task,owner,access_policy,availability,unavailable_reason,screen_pattern,primary_action,normal_viewport_expectation,constrained_viewport_expectation,implementation_status,navigation_result,search_result,state_result,visual_result,keyboard_result,installed_result,evidence,open_issue
dialog:global-error,Unexpected error,,,shell:global-error,,,,Shell,,ACTIVE,,Supporting dialog,Unexpected error,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:import-file,Select workbook or ZIP,,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting dialog,Select workbook or ZIP,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:import-folder,Select import folder,,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting dialog,Select import folder,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:source-file,Select PDF or image,,,native-pdf,Imports,Documents & Ocr,Native PDF Extraction,SourceInbox,2,ACTIVE,,Supporting dialog,Select PDF or image,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:report-export,Excel / PDF destination,,,report-dsr,Reports,Sales,Daily Sales Report,Reports,1,ACTIVE,,Supporting dialog,Excel / PDF destination,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:archive-export,Archive Excel / PDF / ZIP destination,,,re-export,Archive,Archive,Re-export,Archive,1,ACTIVE,,Supporting dialog,Archive Excel / PDF / ZIP destination,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:tally-export,Tally XML destination,,,tally-export,Accounting,Export,Tally Export,Accounting,1,ACTIVE,,Supporting dialog,Tally XML destination,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:pack-export,Daily pack destination,,,store-daily-pack,Reports,Report Packs,Store Daily Pack,DailyWorkflow,1,ACTIVE,,Supporting dialog,Daily pack destination,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-action:export-pdf,Export PDF,,,shell:report-action:export-pdf,,,,Reports / Shell,,ACTIVE,,Supporting action,Export PDF,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-action:export-excel,Export Excel,,,shell:report-action:export-excel,,,,Reports / Shell,,ACTIVE,,Supporting action,Export Excel,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-action:generate-report-pack,Generate report pack,,,shell:report-action:generate-report-pack,,,,Reports / Shell,,ACTIVE,,Supporting action,Generate report pack,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-action:open-export-folder,Open export folder,,,shell:report-action:open-export-folder,,,,Reports / Shell,,ACTIVE,,Supporting action,Open export folder,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-action:manual-entry,Manual entry,,,shell:report-action:manual-entry,,,,Reports / Shell,,ACTIVE,,Supporting action,Manual entry,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-action:local-page-search,Local page search,,,shell:report-action:local-page-search,,,,Reports / Shell,,ACTIVE,,Supporting action,Local page search,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
task:favourite-reports,Favourite Reports,FavouriteReportsView,,favourite-reports,Reports,Favourites,Favourite Reports,FavouriteReportsView,1,ACTIVE,,Focused task or supporting dialog,Favourite Reports,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:status-details,Status details,StatusDetailsDialog,,support-package,Settings,Database & Recovery,Support Package,StatusDetailsDialog,3,ACTIVE,,Focused task or supporting dialog,Status details,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
dialog:calendar,Calendar popup,Themes.ControlsTheme,,connection,Settings,Database & Recovery,Database Connection,Themes.ControlsTheme,3,ACTIVE,,Focused task or supporting dialog,Calendar popup,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
dialog:welcome,Windows identity startup,MainWindow,,dashboard,Dashboard,Overview,Today Overview,MainWindow,1,ACTIVE,,Focused task or supporting dialog,Windows identity startup,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:dashboard-pdf,Management summary PDF destination,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Focused task or supporting dialog,Management summary PDF destination,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
dialog:review-unsaved,Stay / Discard review drafts,DraftNavigationDialog,,approval-centre,Approvals,Review,Approval Centre,DraftNavigationDialog,3,ACTIVE,,Focused task or supporting dialog,Stay / Discard review drafts,1000x600 DIP; identity/actions visible; bounded task content,800x440 DIP; labelled secondary tabs/panels; bounded detail scrolling,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:001,Refresh dashboard,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Refresh dashboard,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:002,Export management summary PDF,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Export management summary PDF,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:003,Overview group for short windows,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Overview group for short windows,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:004,Manual inputs,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Manual inputs,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:005,Readiness,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Readiness,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:006,Reports,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Reports,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:007,Archive,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Archive,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:008,Continue daily workflow,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Continue daily workflow,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:009,Open health and recovery,DashboardView,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Retained focused control or documented replacement,Open health and recovery,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control:010,Windows-integrated SQL Server connection string,SettingsWorkspaceView,,connection,Settings,Database & Recovery,Database Connection,SettingsWorkspaceView,3,ACTIVE,,Retained focused control or documented replacement,Windows-integrated SQL Server connection string,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
control:011,Test Windows-integrated database connection,SettingsWorkspaceView,,connection,Settings,Database & Recovery,Database Connection,SettingsWorkspaceView,3,ACTIVE,,Retained focused control or documented replacement,Test Windows-integrated database connection,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
control:012,Create or update the ETP database,SettingsWorkspaceView,,connection,Settings,Database & Recovery,Database Connection,SettingsWorkspaceView,3,ACTIVE,,Retained focused control or documented replacement,Create or update the ETP database,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
control:013,Document repository path,SettingsWorkspaceView,,sharing,Settings,Integrations,Email & Sharing,SettingsWorkspaceView,3,ACTIVE,,Retained focused control or documented replacement,Document repository path,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
control:014,Report share folder path,SettingsWorkspaceView,,sharing,Settings,Integrations,Email & Sharing,SettingsWorkspaceView,3,ACTIVE,,Retained focused control or documented replacement,Report share folder path,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
control:015,Optional PaddleOCR helper path,SettingsWorkspaceView,,ocr,Settings,Integrations,OCR,SettingsWorkspaceView,3,ACTIVE,,Retained focused control or documented replacement,Optional PaddleOCR helper path,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
control:016,Optional PaddleOCR model folder,SettingsWorkspaceView,,ocr,Settings,Integrations,OCR,SettingsWorkspaceView,3,ACTIVE,,Retained focused control or documented replacement,Optional PaddleOCR model folder,Focused control or labelled subordinate tab/action,Bounded content; visible primary task action,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
